alcance,tabla,propósito,campo,tipo,PK/FK,NULL,UNIQUE,valor_por_defecto,referencia,descripción
MVP,PREF_RESPONSABLE_ESPACIO,Autoriza quién puede verificar trabajos de un espacio.,id_espacio,BIGINT,FK,NO,NO,,PREF_ESPACIO.id_espacio,Espacio administrado.
MVP,PREF_RESPONSABLE_ESPACIO,Autoriza quién puede verificar trabajos de un espacio.,id_usuario,BIGINT,FK,NO,NO,,PREF_USUARIO.id_usuario,Responsable autorizado.
MVP,PREF_RESPONSABLE_ESPACIO,Autoriza quién puede verificar trabajos de un espacio.,fecha_desde,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Inicio de vigencia.
MVP,PREF_RESPONSABLE_ESPACIO,Autoriza quién puede verificar trabajos de un espacio.,fecha_hasta,TIMESTAMP,,SÍ,NO,,,Fin de vigencia.
MVP,PREF_RESPONSABLE_ESPACIO,Autoriza quién puede verificar trabajos de un espacio.,es_principal,BOOLEAN,,NO,NO,FALSE,,Indica responsable preferente.
MVP,PREF_CATEGORIA_INCIDENCIA,Clasificación funcional del desperfecto.,id_categoria,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_CATEGORIA_INCIDENCIA,Clasificación funcional del desperfecto.,codigo,VARCHAR(30),,NO,SÍ,,,Código estable.
MVP,PREF_CATEGORIA_INCIDENCIA,Clasificación funcional del desperfecto.,nombre,VARCHAR(100),,NO,NO,,,Nombre visible.
MVP,PREF_CATEGORIA_INCIDENCIA,Clasificación funcional del desperfecto.,descripcion,VARCHAR(500),,SÍ,NO,,,Criterio de uso.
MVP,PREF_CATEGORIA_INCIDENCIA,Clasificación funcional del desperfecto.,activo,BOOLEAN,,NO,NO,TRUE,,Disponibilidad para nuevos reportes.
MVP,PREF_PRIORIDAD,Catálogo ordenado de prioridad operativa.,id_prioridad,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_PRIORIDAD,Catálogo ordenado de prioridad operativa.,codigo,VARCHAR(20),,NO,SÍ,,,"BAJA, MEDIA, ALTA o CRITICA."
MVP,PREF_PRIORIDAD,Catálogo ordenado de prioridad operativa.,nombre,VARCHAR(60),,NO,NO,,,Nombre visible.
MVP,PREF_PRIORIDAD,Catálogo ordenado de prioridad operativa.,nivel_orden,INTEGER,,NO,SÍ,,,Orden relativo; no representa tiempo máximo.
MVP,PREF_PRIORIDAD,Catálogo ordenado de prioridad operativa.,activo,BOOLEAN,,NO,NO,TRUE,,Disponibilidad para clasificación.
MVP,PREF_ESTADO_INCIDENCIA,Catálogo del ciclo de vida de incidencias.,id_estado_incidencia,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_ESTADO_INCIDENCIA,Catálogo del ciclo de vida de incidencias.,codigo,VARCHAR(40),,NO,SÍ,,,Código de estado.
MVP,PREF_ESTADO_INCIDENCIA,Catálogo del ciclo de vida de incidencias.,nombre,VARCHAR(100),,NO,NO,,,Etiqueta visible.
MVP,PREF_ESTADO_INCIDENCIA,Catálogo del ciclo de vida de incidencias.,es_terminal,BOOLEAN,,NO,NO,FALSE,,Indica si no admite transición ordinaria.
MVP,PREF_ESTADO_INCIDENCIA,Catálogo del ciclo de vida de incidencias.,activo,BOOLEAN,,NO,NO,TRUE,,Disponibilidad para configuración futura.
MVP,PREF_INCIDENCIA,Necesidad reportada por un solicitante.,id_incidencia,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_INCIDENCIA,Necesidad reportada por un solicitante.,codigo,VARCHAR(30),,NO,SÍ,,,Código público del reporte.
MVP,PREF_INCIDENCIA,Necesidad reportada por un solicitante.,id_solicitante,BIGINT,FK,NO,NO,,PREF_USUARIO.id_usuario,Autor del reporte.
MVP,PREF_INCIDENCIA,Necesidad reportada por un solicitante.,id_espacio,BIGINT,FK,NO,NO,,PREF_ESPACIO.id_espacio,Espacio afectado.
MVP,PREF_INCIDENCIA,Necesidad reportada por un solicitante.,id_categoria,BIGINT,FK,NO,NO,,PREF_CATEGORIA_INCIDENCIA.id_categoria,Categoría del problema.
MVP,PREF_INCIDENCIA,Necesidad reportada por un solicitante.,id_prioridad,BIGINT,FK,SÍ,NO,,PREF_PRIORIDAD.id_prioridad,Prioridad confirmada durante revisión.
MVP,PREF_INCIDENCIA,Necesidad reportada por un solicitante.,id_estado_incidencia,BIGINT,FK,NO,NO,,PREF_ESTADO_INCIDENCIA.id_estado_incidencia,Estado vigente.
MVP,PREF_INCIDENCIA,Necesidad reportada por un solicitante.,descripcion,VARCHAR(2000),,NO,NO,,,Descripción del desperfecto.
MVP,PREF_INCIDENCIA,Necesidad reportada por un solicitante.,urgencia_declarada,BOOLEAN,,NO,NO,FALSE,,Percepción inicial del solicitante.
MVP,PREF_INCIDENCIA,Necesidad reportada por un solicitante.,fecha_registro,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Momento del reporte.
MVP,PREF_INCIDENCIA,Necesidad reportada por un solicitante.,fecha_actualizacion,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Última actualización declarada.
MVP,PREF_ACLARACION_INCIDENCIA,Pregunta del coordinador y respuesta del solicitante.,id_aclaracion,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_ACLARACION_INCIDENCIA,Pregunta del coordinador y respuesta del solicitante.,id_incidencia,BIGINT,FK,NO,NO,,PREF_INCIDENCIA.id_incidencia,Incidencia aclarada.
MVP,PREF_ACLARACION_INCIDENCIA,Pregunta del coordinador y respuesta del solicitante.,pregunta,VARCHAR(1000),,NO,NO,,,Información solicitada.
MVP,PREF_ACLARACION_INCIDENCIA,Pregunta del coordinador y respuesta del solicitante.,preguntado_por,BIGINT,FK,NO,NO,,PREF_USUARIO.id_usuario,Coordinador que pregunta.
MVP,PREF_ACLARACION_INCIDENCIA,Pregunta del coordinador y respuesta del solicitante.,fecha_pregunta,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Momento de la pregunta.
MVP,PREF_ACLARACION_INCIDENCIA,Pregunta del coordinador y respuesta del solicitante.,respuesta,VARCHAR(2000),,SÍ,NO,,,Respuesta aportada.
MVP,PREF_ACLARACION_INCIDENCIA,Pregunta del coordinador y respuesta del solicitante.,respondido_por,BIGINT,FK,SÍ,NO,,PREF_USUARIO.id_usuario,Usuario que responde.
MVP,PREF_ACLARACION_INCIDENCIA,Pregunta del coordinador y respuesta del solicitante.,fecha_respuesta,TIMESTAMP,,SÍ,NO,,,Momento de respuesta.
MVP,PREF_ESTADO_ORDEN,Catálogo del ciclo de vida de órdenes.,id_estado_orden,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_ESTADO_ORDEN,Catálogo del ciclo de vida de órdenes.,codigo,VARCHAR(40),,NO,SÍ,,,Código de estado.
MVP,PREF_ESTADO_ORDEN,Catálogo del ciclo de vida de órdenes.,nombre,VARCHAR(100),,NO,NO,,,Etiqueta visible.
MVP,PREF_ESTADO_ORDEN,Catálogo del ciclo de vida de órdenes.,es_terminal,BOOLEAN,,NO,NO,FALSE,,Indica si finaliza el ciclo ordinario.
MVP,PREF_ESTADO_ORDEN,Catálogo del ciclo de vida de órdenes.,activo,BOOLEAN,,NO,NO,TRUE,,Disponibilidad para configuración futura.
MVP,PREF_ORDEN_TRABAJO,"Unidad de planificación, ejecución y cierre del mantenimiento.",id_orden,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_ORDEN_TRABAJO,"Unidad de planificación, ejecución y cierre del mantenimiento.",codigo,VARCHAR(30),,NO,SÍ,,,Código público de la orden.
MVP,PREF_ORDEN_TRABAJO,"Unidad de planificación, ejecución y cierre del mantenimiento.",tipo_orden,VARCHAR(20),,NO,NO,'CORRECTIVA',,CORRECTIVA en MVP; PREVENTIVA queda preparada.
MVP,PREF_ORDEN_TRABAJO,"Unidad de planificación, ejecución y cierre del mantenimiento.",id_espacio,BIGINT,FK,NO,NO,,PREF_ESPACIO.id_espacio,Espacio intervenido.
MVP,PREF_ORDEN_TRABAJO,"Unidad de planificación, ejecución y cierre del mantenimiento.",id_prioridad,BIGINT,FK,NO,NO,,PREF_PRIORIDAD.id_prioridad,Prioridad operativa de la orden.
MVP,PREF_ORDEN_TRABAJO,"Unidad de planificación, ejecución y cierre del mantenimiento.",id_estado_orden,BIGINT,FK,NO,NO,,PREF_ESTADO_ORDEN.id_estado_orden,Estado vigente.
MVP,PREF_ORDEN_TRABAJO,"Unidad de planificación, ejecución y cierre del mantenimiento.",alcance,VARCHAR(2000),,NO,NO,,,Trabajo esperado.
MVP,PREF_ORDEN_TRABAJO,"Unidad de planificación, ejecución y cierre del mantenimiento.",creado_por,BIGINT,FK,NO,NO,,PREF_USUARIO.id_usuario,Coordinador creador.
MVP,PREF_ORDEN_TRABAJO,"Unidad de planificación, ejecución y cierre del mantenimiento.",ciclo_actual,INTEGER,,NO,NO,1,,Número del ciclo vigente; aumenta al reabrir.
MVP,PREF_ORDEN_TRABAJO,"Unidad de planificación, ejecución y cierre del mantenimiento.",fecha_creacion,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Momento de creación.
MVP,PREF_ORDEN_TRABAJO,"Unidad de planificación, ejecución y cierre del mantenimiento.",fecha_fin_tecnica,TIMESTAMP,,SÍ,NO,,,Última finalización técnica vigente.
MVP,PREF_ORDEN_TRABAJO,"Unidad de planificación, ejecución y cierre del mantenimiento.",fecha_cierre,TIMESTAMP,,SÍ,NO,,,Último cierre formal.
MVP,PREF_ORDEN_INCIDENCIA,Vínculo entre orden correctiva e incidencia; en MVP se usa un reporte principal.,id_orden,BIGINT,"PK,FK",NO,NO,,PREF_ORDEN_TRABAJO.id_orden,Orden vinculada.
MVP,PREF_ORDEN_INCIDENCIA,Vínculo entre orden correctiva e incidencia; en MVP se usa un reporte principal.,id_incidencia,BIGINT,"PK,FK",NO,NO,,PREF_INCIDENCIA.id_incidencia,Incidencia atendida.
MVP,PREF_ORDEN_INCIDENCIA,Vínculo entre orden correctiva e incidencia; en MVP se usa un reporte principal.,vinculado_por,BIGINT,FK,NO,NO,,PREF_USUARIO.id_usuario,Coordinador que vincula.
MVP,PREF_ORDEN_INCIDENCIA,Vínculo entre orden correctiva e incidencia; en MVP se usa un reporte principal.,fecha_vinculacion,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Momento del vínculo.
MVP,PREF_ASIGNACION_TECNICA,Responsabilidad y programación de un técnico por ciclo.,id_asignacion,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_ASIGNACION_TECNICA,Responsabilidad y programación de un técnico por ciclo.,id_orden,BIGINT,FK,NO,NO,,PREF_ORDEN_TRABAJO.id_orden,Orden asignada.
MVP,PREF_ASIGNACION_TECNICA,Responsabilidad y programación de un técnico por ciclo.,numero_ciclo,INTEGER,,NO,NO,,,Ciclo al que corresponde.
MVP,PREF_ASIGNACION_TECNICA,Responsabilidad y programación de un técnico por ciclo.,id_tecnico,BIGINT,FK,NO,NO,,PREF_USUARIO.id_usuario,Usuario técnico.
MVP,PREF_ASIGNACION_TECNICA,Responsabilidad y programación de un técnico por ciclo.,tipo_asignacion,VARCHAR(20),,NO,NO,'RESPONSABLE',,RESPONSABLE en MVP; COLABORADOR queda preparado.
MVP,PREF_ASIGNACION_TECNICA,Responsabilidad y programación de un técnico por ciclo.,programada_inicio,TIMESTAMP,,NO,NO,,,Inicio previsto.
MVP,PREF_ASIGNACION_TECNICA,Responsabilidad y programación de un técnico por ciclo.,programada_fin,TIMESTAMP,,NO,NO,,,Fin previsto.
MVP,PREF_ASIGNACION_TECNICA,Responsabilidad y programación de un técnico por ciclo.,asignado_por,BIGINT,FK,NO,NO,,PREF_USUARIO.id_usuario,Coordinador que asigna.
MVP,PREF_ASIGNACION_TECNICA,Responsabilidad y programación de un técnico por ciclo.,fecha_asignacion,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Momento de asignación.
MVP,PREF_ASIGNACION_TECNICA,Responsabilidad y programación de un técnico por ciclo.,vigente,BOOLEAN,,NO,NO,TRUE,,Indica asignación actual.
MVP,PREF_ASIGNACION_TECNICA,Responsabilidad y programación de un técnico por ciclo.,fecha_fin_vigencia,TIMESTAMP,,SÍ,NO,,,Fin de la asignación si fue reemplazada.
MVP,PREF_INTERVENCION,Actividad técnica concreta realizada dentro de una asignación.,id_intervencion,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_INTERVENCION,Actividad técnica concreta realizada dentro de una asignación.,id_asignacion,BIGINT,FK,NO,NO,,PREF_ASIGNACION_TECNICA.id_asignacion,Asignación que habilita al técnico.
MVP,PREF_INTERVENCION,Actividad técnica concreta realizada dentro de una asignación.,fecha_inicio,TIMESTAMP,,NO,NO,,,Inicio real.
MVP,PREF_INTERVENCION,Actividad técnica concreta realizada dentro de una asignación.,fecha_fin,TIMESTAMP,,SÍ,NO,,,Fin real.
MVP,PREF_INTERVENCION,Actividad técnica concreta realizada dentro de una asignación.,actividad,VARCHAR(2000),,NO,NO,,,Trabajo efectuado.
MVP,PREF_INTERVENCION,Actividad técnica concreta realizada dentro de una asignación.,resultado,VARCHAR(2000),,SÍ,NO,,,Resultado observado.
MVP,PREF_INTERVENCION,Actividad técnica concreta realizada dentro de una asignación.,estado_registro,VARCHAR(10),,NO,NO,'ABIERTO',,ABIERTO o CERRADO.
MVP,PREF_INTERVENCION,Actividad técnica concreta realizada dentro de una asignación.,fecha_registro,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Creación del registro.
MVP,PREF_EVIDENCIA,Metadatos de una fotografía vinculada a incidencia o intervención; el binario se almacena fuera de la tabla.,id_evidencia,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_EVIDENCIA,Metadatos de una fotografía vinculada a incidencia o intervención; el binario se almacena fuera de la tabla.,id_incidencia,BIGINT,FK,SÍ,NO,,PREF_INCIDENCIA.id_incidencia,Reporte al que pertenece.
MVP,PREF_EVIDENCIA,Metadatos de una fotografía vinculada a incidencia o intervención; el binario se almacena fuera de la tabla.,id_intervencion,BIGINT,FK,SÍ,NO,,PREF_INTERVENCION.id_intervencion,Intervención a la que pertenece.
MVP,PREF_EVIDENCIA,Metadatos de una fotografía vinculada a incidencia o intervención; el binario se almacena fuera de la tabla.,nombre_original,VARCHAR(255),,NO,NO,,,Nombre recibido para presentación controlada.
MVP,PREF_EVIDENCIA,Metadatos de una fotografía vinculada a incidencia o intervención; el binario se almacena fuera de la tabla.,clave_almacenamiento,VARCHAR(500),,NO,SÍ,,,Referencia opaca al archivo externo.
MVP,PREF_EVIDENCIA,Metadatos de una fotografía vinculada a incidencia o intervención; el binario se almacena fuera de la tabla.,tipo_mime,VARCHAR(100),,NO,NO,,,Tipo de contenido validado.
MVP,PREF_EVIDENCIA,Metadatos de una fotografía vinculada a incidencia o intervención; el binario se almacena fuera de la tabla.,tamano_bytes,BIGINT,,NO,NO,,,Tamaño validado del archivo.
MVP,PREF_EVIDENCIA,Metadatos de una fotografía vinculada a incidencia o intervención; el binario se almacena fuera de la tabla.,huella_sha256,CHAR(64),,NO,NO,,,Huella de integridad del binario.
MVP,PREF_EVIDENCIA,Metadatos de una fotografía vinculada a incidencia o intervención; el binario se almacena fuera de la tabla.,descripcion,VARCHAR(500),,SÍ,NO,,,Descripción accesible y contexto.
MVP,PREF_EVIDENCIA,Metadatos de una fotografía vinculada a incidencia o intervención; el binario se almacena fuera de la tabla.,cargado_por,BIGINT,FK,NO,NO,,PREF_USUARIO.id_usuario,Usuario que aporta la evidencia.
MVP,PREF_EVIDENCIA,Metadatos de una fotografía vinculada a incidencia o intervención; el binario se almacena fuera de la tabla.,fecha_carga,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Momento de confirmación.
MVP,PREF_EVIDENCIA,Metadatos de una fotografía vinculada a incidencia o intervención; el binario se almacena fuera de la tabla.,estado_archivo,VARCHAR(15),,NO,NO,'DISPONIBLE',,"DISPONIBLE, FALLIDA o RETIRADA."
MVP,PREF_VERIFICACION,Dictamen independiente sobre el resultado de un ciclo de orden.,id_verificacion,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_VERIFICACION,Dictamen independiente sobre el resultado de un ciclo de orden.,id_orden,BIGINT,FK,NO,NO,,PREF_ORDEN_TRABAJO.id_orden,Orden verificada.
MVP,PREF_VERIFICACION,Dictamen independiente sobre el resultado de un ciclo de orden.,numero_ciclo,INTEGER,,NO,NO,,,Ciclo evaluado.
MVP,PREF_VERIFICACION,Dictamen independiente sobre el resultado de un ciclo de orden.,id_verificador,BIGINT,FK,NO,NO,,PREF_USUARIO.id_usuario,Responsable del espacio que emite el dictamen.
MVP,PREF_VERIFICACION,Dictamen independiente sobre el resultado de un ciclo de orden.,dictamen,VARCHAR(20),,NO,NO,,,CONFORME o NO_CONFORME.
MVP,PREF_VERIFICACION,Dictamen independiente sobre el resultado de un ciclo de orden.,observacion,VARCHAR(1500),,SÍ,NO,,,Fundamento o comentarios.
MVP,PREF_VERIFICACION,Dictamen independiente sobre el resultado de un ciclo de orden.,fecha_verificacion,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Momento del dictamen.
MVP,PREF_VERIFICACION,Dictamen independiente sobre el resultado de un ciclo de orden.,vigente,BOOLEAN,,NO,NO,TRUE,,Vigencia para el cierre del ciclo.
MVP,PREF_BLOQUEO_ORDEN,Impedimento y posterior resolución durante un ciclo.,id_bloqueo,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_BLOQUEO_ORDEN,Impedimento y posterior resolución durante un ciclo.,id_orden,BIGINT,FK,NO,NO,,PREF_ORDEN_TRABAJO.id_orden,Orden bloqueada.
MVP,PREF_BLOQUEO_ORDEN,Impedimento y posterior resolución durante un ciclo.,numero_ciclo,INTEGER,,NO,NO,,,Ciclo afectado.
MVP,PREF_BLOQUEO_ORDEN,Impedimento y posterior resolución durante un ciclo.,motivo,VARCHAR(1000),,NO,NO,,,Impedimento documentado.
MVP,PREF_BLOQUEO_ORDEN,Impedimento y posterior resolución durante un ciclo.,abierto_por,BIGINT,FK,NO,NO,,PREF_USUARIO.id_usuario,Técnico responsable o coordinador.
MVP,PREF_BLOQUEO_ORDEN,Impedimento y posterior resolución durante un ciclo.,fecha_apertura,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Inicio del bloqueo.
MVP,PREF_BLOQUEO_ORDEN,Impedimento y posterior resolución durante un ciclo.,resolucion,VARCHAR(1000),,SÍ,NO,,,Cómo se atendió el impedimento.
MVP,PREF_BLOQUEO_ORDEN,Impedimento y posterior resolución durante un ciclo.,cerrado_por,BIGINT,FK,SÍ,NO,,PREF_USUARIO.id_usuario,Usuario que autoriza o registra resolución.
MVP,PREF_BLOQUEO_ORDEN,Impedimento y posterior resolución durante un ciclo.,fecha_cierre,TIMESTAMP,,SÍ,NO,,,Fin del bloqueo.
MVP,PREF_HISTORIAL_INCIDENCIA,Transiciones inmutables del estado de una incidencia.,id_historial_incidencia,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_HISTORIAL_INCIDENCIA,Transiciones inmutables del estado de una incidencia.,id_incidencia,BIGINT,FK,NO,NO,,PREF_INCIDENCIA.id_incidencia,Incidencia afectada.
MVP,PREF_HISTORIAL_INCIDENCIA,Transiciones inmutables del estado de una incidencia.,id_estado_origen,BIGINT,FK,SÍ,NO,,PREF_ESTADO_INCIDENCIA.id_estado_incidencia,Estado anterior; NULL al crear.
MVP,PREF_HISTORIAL_INCIDENCIA,Transiciones inmutables del estado de una incidencia.,id_estado_destino,BIGINT,FK,NO,NO,,PREF_ESTADO_INCIDENCIA.id_estado_incidencia,Nuevo estado.
MVP,PREF_HISTORIAL_INCIDENCIA,Transiciones inmutables del estado de una incidencia.,cambiado_por,BIGINT,FK,NO,NO,,PREF_USUARIO.id_usuario,Autor del cambio.
MVP,PREF_HISTORIAL_INCIDENCIA,Transiciones inmutables del estado de una incidencia.,fecha_cambio,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Momento del cambio.
MVP,PREF_HISTORIAL_INCIDENCIA,Transiciones inmutables del estado de una incidencia.,motivo,VARCHAR(1000),,SÍ,NO,,,Motivo cuando la transición lo exige.
MVP,PREF_HISTORIAL_INCIDENCIA,Transiciones inmutables del estado de una incidencia.,referencia_operacion,VARCHAR(64),,NO,NO,,,Identificador que vincula cambios de una misma operación.
MVP,PREF_HISTORIAL_ORDEN,Transiciones inmutables del estado de una orden.,id_historial_orden,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
MVP,PREF_HISTORIAL_ORDEN,Transiciones inmutables del estado de una orden.,id_orden,BIGINT,FK,NO,NO,,PREF_ORDEN_TRABAJO.id_orden,Orden afectada.
MVP,PREF_HISTORIAL_ORDEN,Transiciones inmutables del estado de una orden.,numero_ciclo,INTEGER,,NO,NO,,,Ciclo afectado.
MVP,PREF_HISTORIAL_ORDEN,Transiciones inmutables del estado de una orden.,id_estado_origen,BIGINT,FK,SÍ,NO,,PREF_ESTADO_ORDEN.id_estado_orden,Estado anterior; NULL al crear.
MVP,PREF_HISTORIAL_ORDEN,Transiciones inmutables del estado de una orden.,id_estado_destino,BIGINT,FK,NO,NO,,PREF_ESTADO_ORDEN.id_estado_orden,Nuevo estado.
MVP,PREF_HISTORIAL_ORDEN,Transiciones inmutables del estado de una orden.,cambiado_por,BIGINT,FK,NO,NO,,PREF_USUARIO.id_usuario,Autor del cambio.
MVP,PREF_HISTORIAL_ORDEN,Transiciones inmutables del estado de una orden.,fecha_cambio,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Momento del cambio.
MVP,PREF_HISTORIAL_ORDEN,Transiciones inmutables del estado de una orden.,motivo,VARCHAR(1000),,SÍ,NO,,,Motivo cuando la transición lo exige.
MVP,PREF_HISTORIAL_ORDEN,Transiciones inmutables del estado de una orden.,referencia_operacion,VARCHAR(64),,NO,NO,,,Identificador que vincula cambios de una misma operación.
AMPLIACION,PREF_DUPLICIDAD_INCIDENCIA,Vínculo controlado entre reporte duplicado y principal.,id_incidencia_duplicada,BIGINT,"PK,FK",NO,NO,,PREF_INCIDENCIA.id_incidencia,Incidencia marcada duplicada.
AMPLIACION,PREF_DUPLICIDAD_INCIDENCIA,Vínculo controlado entre reporte duplicado y principal.,id_incidencia_principal,BIGINT,FK,NO,NO,,PREF_INCIDENCIA.id_incidencia,Incidencia que concentra el seguimiento.
AMPLIACION,PREF_DUPLICIDAD_INCIDENCIA,Vínculo controlado entre reporte duplicado y principal.,marcado_por,BIGINT,FK,NO,NO,,PREF_USUARIO.id_usuario,Coordinador que decide.
AMPLIACION,PREF_DUPLICIDAD_INCIDENCIA,Vínculo controlado entre reporte duplicado y principal.,fecha_marcado,TIMESTAMP,,NO,NO,CURRENT_TIMESTAMP,,Momento de decisión.
AMPLIACION,PREF_DUPLICIDAD_INCIDENCIA,Vínculo controlado entre reporte duplicado y principal.,motivo,VARCHAR(1000),,NO,NO,,,Fundamento de duplicidad.
AMPLIACION,PREF_SOLICITUD_CANCELACION,Solicitud y resolución formal de cancelación.,id_solicitud_cancelacion,BIGINT,PK,NO,NO,IDENTITY,,Identificador interno.
